fid,interaction_id,interactions
460287,505013,482
460287,274580,482
460287,455965,482
460287,406088,477
684296,388302,477
460287,404923,476
460287,396088,475
460287,386213,474
460287,265743,473
816433,279037,472
460287,269405,471
460287,514535,471
455932,388302,470
460287,503238,467
816433,500235,467
324808,326067,465
460287,588078,465
460287,499527,464
460287,533379,461
460287,13336,461
460287,234796,460
460287,442331,460
460287,276506,460
460287,248506,459
816433,597941,459
460287,423331,459
460287,447233,458
460287,283144,457
816433,449882,454
460287,501651,454
460287,327374,454
460287,14369,454
460287,347364,454
460287,393610,452
509229,388302,450
684296,684296,449
657052,404871,449
324808,194335,448
460287,417554,445
816433,396484,444
195117,781098,442
509388,388302,442
460287,513149,442
460287,211443,441
816433,443863,441
460287,255345,440
460287,461302,438
460287,3827,437
460287,509042,437
702530,8106,437
816433,418456,436
460287,411286,436
509124,509124,436
324808,254830,436
537227,428498,436
460287,497116,435
324808,8245,435
460287,503580,433
460287,266053,432
460287,394930,430
507503,15141,429
816433,631749,429
460287,418671,428
816433,234616,427
415856,388302,426
816433,408746,426
460287,527771,426
600714,600714,425
460287,407704,424
460287,496614,424
515809,388302,423
460287,276036,422
460287,412582,422
460287,416398,421
460287,328924,421
816433,14511,421
324808,259525,421
816433,409573,420
460287,401556,420
460287,542598,418
821550,234434,418
816433,411778,418
11124,781098,418
816433,473065,417
460287,359338,417
460287,343942,413
460287,318181,412
324808,9856,410
460287,2211,409
460287,428669,409
545189,531162,409
460287,202689,408
460287,268455,406
449143,388302,406
460287,512482,406
816433,484256,406
460287,7472,403
460287,360245,402
460287,365209,402
758580,15141,401
460287,448043,401
460287,543988,400
816433,407705,400
321795,781098,400
460287,511753,400
472896,531162,399
460287,378411,397
460287,448920,397
460287,198783,397
460287,250772,396
460287,386450,396
460287,414259,394
545091,531162,394
460287,446852,394
460287,324790,393
460287,422334,392
460287,420958,392
460287,425901,392
816433,309242,391
523316,501087,391
816433,406493,391
816433,503286,391
460287,424711,390
460287,492693,389
460287,474644,389
460287,315112,389
460287,278406,388
816433,354220,388
460287,288578,388
460287,192631,388
816433,395131,387
460287,382384,385
324808,212202,384
460287,525389,383
324808,215674,383
460287,385793,382
401987,388302,381
460287,301385,381
473807,473807,381
473086,820270,380
816433,405729,379
816433,360623,378
816433,12626,378
816433,488848,378
460287,441509,377
533957,15141,376
816433,380455,375
816433,483322,374
816433,456735,373
460287,375536,373
816433,442770,373
460287,421163,373
499372,388302,373
460287,496668,373
532218,15141,372
324808,249121,372
324808,208239,371
460287,461943,370
460287,406668,369
509427,388302,369
657052,640054,367
20596,20589,367
405154,244062,367
460287,360623,367
508969,388302,366
509404,509404,366
